core
883 144 188 249 39 149 129 136 136 40 102 692 43 104 677 196 543 59 
has_camera
0 0 0 1 1 0 1 1 0 0 0 0 1 0 0 1 0 1 
has_gpu
0 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 0 0 
bandwidth
0,12 170
1,0 103
2,1 53
3,2 104
3,7 55
4,3 195
4,14 85
4,1 67
5,1 161
6,0 57
6,9 177
7,2 53
8,0 84
9,7 95
10,8 73
11,0 92
12,9 54
12,2 63
13,6 77
14,0 190
15,6 79
16,0 51
17,3 171
latency
0,12 3
1,0 2
2,1 2
3,2 3
3,7 4
4,3 3
4,14 3
4,1 4
5,1 3
6,0 4
6,9 4
7,2 3
8,0 4
9,7 3
10,8 2
11,0 3
12,9 4
12,2 2
13,6 3
14,0 4
15,6 3
16,0 4
17,3 4
