core
780 244 96 225 727 156 49 177 146 809 214 215 61 204 19 106 550 70 
has_camera
0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0 1 
has_gpu
0 0 1 1 0 1 0 1 0 0 1 1 0 1 0 1 0 1 
bandwidth
1,0 143
1,3 82
2,0 68
3,0 73
4,0 196
5,1 103
6,5 96
7,4 113
7,11 147
7,14 196
8,4 132
8,11 122
9,0 184
9,10 121
10,2 145
11,3 51
12,10 126
13,5 152
14,13 170
15,8 166
16,0 133
16,17 117
17,14 192
17,12 159
latency
1,0 3
1,3 2
2,0 3
3,0 3
4,0 4
5,1 2
6,5 3
7,4 4
7,11 4
7,14 2
8,4 3
8,11 3
9,0 4
9,10 3
10,2 4
11,3 3
12,10 4
13,5 4
14,13 2
15,8 3
16,0 4
16,17 3
17,14 2
17,12 3
