core
581 229 224 663 190 37 246 190 94 221 250 831 25 22 159 216 206 43 610 
has_camera
0 0 0 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 
has_gpu
0 1 0 0 1 0 0 0 0 1 0 0 1 0 1 0 0 0 0 
bandwidth
1,0 149
2,1 164
3,0 199
3,18 74
3,6 90
4,2 190
5,4 179
5,15 151
5,8 158
6,3 53
6,18 55
7,6 113
7,18 119
8,6 172
9,1 158
9,0 67
10,9 140
10,3 189
11,0 168
12,4 55
12,15 145
12,5 134
12,0 178
13,12 182
14,4 131
15,7 94
15,12 101
16,1 50
17,5 195
17,0 169
18,0 57
latency
1,0 4
2,1 4
3,0 3
3,18 4
3,6 4
4,2 4
5,4 2
5,15 3
5,8 3
6,3 3
6,18 3
7,6 3
7,18 3
8,6 3
9,1 3
9,0 2
10,9 4
10,3 3
11,0 3
12,4 3
12,15 3
12,5 4
12,0 4
13,12 3
14,4 4
15,7 3
15,12 4
16,1 3
17,5 4
17,0 2
18,0 4
