core
865 98 743 163 86 703 233 49 45 66 147 157 7 167 211 101 
has_camera
0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 
has_gpu
0 0 0 1 0 0 1 0 0 1 0 1 1 1 1 1 
bandwidth
0,3 179
0,8 121
0,7 183
1,0 52
1,2 144
1,14 185
2,0 124
3,2 56
4,2 174
4,9 105
5,0 60
5,2 102
6,2 68
7,4 183
8,6 95
9,8 132
9,0 125
10,5 182
11,1 121
11,14 121
12,11 134
13,10 168
14,1 97
15,10 132
15,7 188
15,13 189
15,3 159
latency
0,3 3
0,8 2
0,7 4
1,0 3
1,2 2
1,14 4
2,0 3
3,2 4
4,2 4
4,9 3
5,0 3
5,2 2
6,2 3
7,4 2
8,6 4
9,8 4
9,0 3
10,5 2
11,1 4
11,14 2
12,11 4
13,10 4
14,1 3
15,10 4
15,7 4
15,13 3
15,3 4
