core
671 146 85 104 68 214 148 110 216 33 191 476 8 86 511 172 720 60 
has_camera
0 0 1 1 1 0 0 0 0 1 1 0 1 1 0 0 0 0 
has_gpu
0 1 1 1 1 0 0 1 1 0 0 0 0 1 0 0 0 0 
bandwidth
0,12 61
1,0 93
2,1 79
3,2 170
3,7 123
4,3 99
4,14 145
4,1 83
5,1 123
6,0 135
6,9 105
7,2 95
8,0 200
9,7 71
10,8 143
11,0 128
12,9 109
12,2 131
13,6 56
14,0 83
15,6 170
16,0 70
17,3 149
latency
0,12 3
1,0 3
2,1 2
3,2 3
3,7 3
4,3 3
4,14 2
4,1 3
5,1 3
6,0 3
6,9 3
7,2 4
8,0 4
9,7 3
10,8 4
11,0 2
12,9 2
12,2 2
13,6 4
14,0 3
15,6 2
16,0 4
17,3 4
