core
709 832 734 96 220 236 163 212 80 474 195 207 23 58 11 234 115 9 
has_camera
0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 1 
has_gpu
0 0 0 1 1 0 1 1 0 0 0 0 1 1 1 1 1 0 
bandwidth
0,9 189
1,0 184
1,11 128
2,0 90
2,5 181
2,16 151
3,1 84
4,2 175
5,1 173
6,2 130
7,4 133
7,12 53
8,4 93
9,0 164
10,3 84
11,5 109
11,16 195
12,11 83
13,12 94
14,13 191
14,7 194
15,11 97
15,5 112
16,9 120
17,14 155
17,9 140
17,6 168
latency
0,9 3
1,0 4
1,11 3
2,0 2
2,5 4
2,16 3
3,1 4
4,2 3
5,1 4
6,2 4
7,4 2
7,12 4
8,4 4
9,0 3
10,3 3
11,5 2
11,16 3
12,11 4
13,12 4
14,13 2
14,7 2
15,11 3
15,5 4
16,9 4
17,14 3
17,9 3
17,6 4
