core
54 61 37 130 231 176 226 160 488 872 48 181 104 411 765 354 82 200 82 192 61 686 75 242 160 11 888 96 68 104 792 6 218 646 157 100 127 111 848 53 187 28 48 134 742 785 173 152 168 131 225 520 200 96 19 45 12 117 400 806 116 145 176 14 867 21 163 577 209 581 623 81 234 15 213 118 225 55 57 150 233 804 201 166 734 215 192 247 155 41 547 23 129 156 9 32 825 100 149 52 731 20 176 114 646 157 100 127 111 848 53 187 28 48 134 742 425 139 101 233 40 169 116 575 32 41 525 64 158 82 182 555 180 204 232 60 14 679 166 138 14 74 729 147 188 100 206 57 837 9 703 228 99 183 62 239 119 422 21 47 442 66 149 153 81 11 24 23 126 212 173 235 110 885 660 691 198 228 197 121 31 456 63 33 226 787 190 112 662 25 59 522 91 204 201 102 148 69 496 42 35 146 100 597 7 192 715 217 118 191 26 140 32 70 539 141
has_camera
0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 1 0 0 1 0 0 1 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0
has_gpu
1 1 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 0 1 0 0 0 0 1 0 1 0 1 0 1 0 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 0 1 1 0 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 0 1 1 0 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0
bandwidth
0,1 73
1,2 96
2,3 167
3,4 170
4,5 147
5,6 199
6,7 197
7,8 59
8,9 149
10,11 117
11,12 181
12,13 193
15,14 124
16,15 192
17,16 71
18,16 114
19,17 123
20,19 137
21,15 63
22,20 182
23,16 118
24,21 51
25,19 111
27,26 179
28,27 151
29,26 178
30,26 154
31,30 76
32,27 139
34,33 105
34,41 162
35,33 187
36,35 164
36,37 166
37,35 51
38,33 162
39,36 153
39,34 160
39,43 139
40,35 98
41,39 172
42,39 173
43,40 148
44,33 157
46,45 83
46,55 180
47,45 128
47,48 175
48,45 153
48,58 165
49,48 131
50,49 158
51,45 143
52,46 139
53,49 190
54,53 109
54,50 177
54,57 78
55,54 151
56,50 188
56,47 104
56,53 155
57,52 96
57,50 88
58,45 56
59,63 158
60,59 52
61,59 199
62,61 85
63,62 174
64,59 191
65,62 87
65,66 160
66,61 146
66,62 92
66,64 183
68,67 174
69,67 191
70,67 83
71,68 56
72,69 150
73,72 119
74,72 50
75,70 187
76,68 90
77,74 195
78,73 69
79,69 89
80,75 176
82,81 117
83,81 97
84,81 110
85,83 96
86,85 143
87,86 154
88,85 85
89,87 199
90,81 96
91,87 61
92,85 143
93,92 129
94,91 97
95,91 102
96,98 72
97,96 51
98,96 167
99,97 192
100,96 168
100,102 177
100,97 153
101,100 106
102,98 145
103,97 140
105,104 105
105,112 162
106,104 187
107,106 164
107,108 166
108,106 51
109,104 162
110,107 153
110,105 160
110,114 139
111,106 98
112,110 172
113,110 173
114,111 148
115,104 157
116,117 99
117,116 64
118,116 176
118,126 167
119,117 50
120,119 152
120,118 101
121,117 79
122,116 93
122,128 101
123,116 183
124,119 169
125,120 175
126,116 127
126,118 72
127,119 190
127,118 52
128,119 82
128,121 132
128,122 101
129,119 68
130,117 75
130,122 139
132,131 200
132,134 145
133,131 165
134,131 120
134,135 64
135,134 76
136,134 53
137,140 69
138,137 78
139,138 87
139,140 116
140,139 174
141,140 132
141,138 169
141,139 58
143,142 149
144,142 107
145,142 67
146,145 185
147,146 121
148,142 186
149,146 168
150,151 138
151,150 65
152,150 183
152,160 80
153,151 163
154,153 119
154,152 168
155,151 189
156,150 72
156,162 187
157,150 178
158,153 189
159,154 120
160,150 75
160,152 168
161,153 160
161,152 71
162,153 146
162,155 189
162,156 172
163,153 195
164,151 163
164,156 94
165,166 155
166,167 83
167,168 63
168,169 134
169,170 80
170,171 110
171,172 123
172,173 180
173,174 164
176,175 116
177,175 135
178,177 199
179,177 119
180,179 80
181,175 187
182,178 139
183,180 81
184,179 80
186,185 116
187,185 154
188,185 82
189,188 65
190,186 178
